date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:59:37	8680/8680	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Nov%202017%2005:59:37%20GMT	http://localhost/wp/	C:/My%20Web%20Sites/deploy/localhost/wp/index.html	(from )
13:59:38	1054/1054	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Nov%202017%2005:59:37%20GMT	http://localhost/robots.txt		(from )
13:59:38	24486/24486	---M--	200	added ('OK')	text/css	etag:%225fa6-55e52a5b9deb9%22	http://localhost/wp/wp-content/themes/twentyten/style.css	C:/My%20Web%20Sites/deploy/localhost/wp/wp-content/themes/twentyten/style.css	(from http://localhost/wp/)
13:59:39	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2025%20Nov%202017%2005:59:38%20GMT	http://localhost/wp/xmlrpc.php	C:/My%20Web%20Sites/deploy/localhost/wp/xmlrpc.php	(from http://localhost/wp/)
13:59:39	806/806	---M--	200	added ('OK')	text/xml	date:Sat,%2025%20Nov%202017%2005:59:39%20GMT	http://localhost/wp/xmlrpc.php?rsd	C:/My%20Web%20Sites/deploy/localhost/wp/xmlrpc0db0.php	(from http://localhost/wp/)
13:59:39	1676/1676	---M--	200	added ('OK')	application/rss+xml	etag:%2273cf5bbfbfc4bf3f10f22a7428919979%22	http://localhost/wp/feed/	C:/My%20Web%20Sites/deploy/localhost/wp/feed/index.html	(from http://localhost/wp/)
13:59:39	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://localhost/wp/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/deploy/localhost/wp/wp-includes/wlwmanifest.xml	(from http://localhost/wp/)
13:59:39	2269/2269	---M--	200	added ('OK')	application/json	date:Sat,%2025%20Nov%202017%2005:59:39%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2F	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embedc564.json	(from http://localhost/wp/)
13:59:40	1592/1592	---M--	200	added ('OK')	application/rss+xml	etag:%22c5dabd90710a6111393995250612ab5f%22	http://localhost/wp/comments/feed/	C:/My%20Web%20Sites/deploy/localhost/wp/comments/feed/index.html	(from http://localhost/wp/)
13:59:40	2415/2415	---M--	200	added ('OK')	text/xml	date:Sat,%2025%20Nov%202017%2005:59:40%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2F&format=xml	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embedf054	(from http://localhost/wp/)
